codigo,produto,categoria,marca,preco_venda,custo_unitario,estoque,fornecedor,observacao
CAS-0003,Garrafa térmica Terra 03,Casa e Cozinha,Terra,83.49,48.09,30,Parceiro Centro-Oeste,Produto sazonal
BRI-0007,Kit criativo Vértice 07,Brinquedos,Vértice,54.25,39.72,16,Hub Nordeste,
ELE-0008,Fone sem fio Ponto 08,Eletrônicos,Ponto,280.59,132.66,25,Hub Nordeste,
ELE-0009,Carregador Brisa 09,Eletrônicos,Brisa,234.57,117.52,23,Distribuidora Norte,
INF-0004,Mouse Nexo 04,Informática,Nexo,127.24,55.4,30,Parceiro Centro-Oeste,
MOD-0007,Mochila Fluxo 07,Moda,Fluxo,75.08,46.47,8,Central Sudeste,
BRI-0008,Blocos Horizonte 08,Brinquedos,Horizonte,83.53,61.58,38,Hub Nordeste,
BRI-0009,Quebra-cabeça Alva 09,Brinquedos,Alva,95.03,48.2,39,Central Sudeste,
MOD-0008,Carteira Raiz 08,Moda,Raiz,46.47,32.6,18,Parceiro Centro-Oeste,
ESP-0008,Colchonete Alva 08,Esporte,Alva,100.86,38.35,21,Distribuidora Norte,
PAP-0002,Agenda Fluxo 02,Papelaria,Fluxo,28.96,19.54,49,Parceiro Centro-Oeste,
ELE-0010,Fone sem fio Orbe 10,Eletrônicos,Orbe,240.35,131.54,4,Distribuidora Norte,
INF-0005,Suporte para notebook Alva 05,Informática,Alva,259.5,111.43,17,Central Sudeste,Reposição prioritária
BRI-0010,Kit criativo Vértice 10,Brinquedos,Vértice,45.51,20.91,24,Central Sudeste,
ESP-0009,Faixa elástica Lume 09,Esporte,Lume,72.69,28.92,11,Hub Nordeste,
PAP-0003,Caderno Terra 03,Papelaria,Terra,23.96,12.43,26,Parceiro Centro-Oeste,
MOD-0009,Camiseta Lume 09,Moda,Lume,42.68,29.96,37,Distribuidora Norte,
BRI-0011,Kit criativo Viva 11,Brinquedos,Viva,103.73,47.45,58,Comercial Sul,
PAP-0004,Caneta Atlas 04,Papelaria,Atlas,37.54,16.09,16,Comercial Sul,
PAP-0005,Caneta Fluxo 05,Papelaria,Fluxo,44.82,20.35,15,Comercial Sul,
CAS-0004,Luminária Lume 04,Casa e Cozinha,Lume,198.54,129.35,40,Distribuidora Norte,Revisar embalagem
INF-0006,Teclado Ponto 06,Informática,Ponto,223.21,98.51,12,Comercial Sul,
ESP-0010,Corda Prisma 10,Esporte,Prisma,107.51,44.85,39,Central Sudeste,
ELE-0011,Smartwatch Ponto 11,Eletrônicos,Ponto,205.21,146.89,22,Central Sudeste,
ESP-0011,Garrafa Horizonte 11,Esporte,Horizonte,66.94,33.77,18,Comercial Sul,
PET-0007,Kit de higiene Fluxo 07,Pet,Fluxo,57.37,37.41,32,Parceiro Centro-Oeste,
CAS-0005,Panela Prisma 05,Casa e Cozinha,Prisma,104.06,74.16,19,Parceiro Centro-Oeste,
INF-0007,Teclado Terra 07,Informática,Terra,83.73,45.86,23,Parceiro Centro-Oeste,
CAS-0006,Organizador Alva 06,Casa e Cozinha,Alva,101.56,66.92,12,Central Sudeste,
CAS-0007,Garrafa térmica Lume 07,Casa e Cozinha,Lume,105.15,44.44,31,Distribuidora Norte,
BRI-0012,Jogo educativo Viva 12,Brinquedos,Viva,44.36,27.88,15,Comercial Sul,
PAP-0006,Marcador Nexo 06,Papelaria,Nexo,35.77,16.35,21,Distribuidora Norte,Revisar embalagem
MOD-0010,Boné Fluxo 10,Moda,Fluxo,145.95,59.7,35,Parceiro Centro-Oeste,
BRI-0013,Quebra-cabeça Alva 13,Brinquedos,Alva,63.85,47.1,66,Central Sudeste,Produto sazonal
ESP-0012,Corda Horizonte 12,Esporte,Horizonte,52.03,21.97,27,Parceiro Centro-Oeste,Produto sazonal
PET-0008,Kit de higiene Orbe 08,Pet,Orbe,61.74,33.35,33,Distribuidora Norte,
ELE-0012,Smartwatch Brisa 12,Eletrônicos,Brisa,385.28,244.59,11,Distribuidora Norte,Produto sazonal
INF-0008,Mouse Viva 08,Informática,Viva,286.82,158.86,19,Hub Nordeste,
INF-0009,Teclado Orbe 09,Informática,Orbe,127.1,90.88,37,Hub Nordeste,Reposição prioritária
MOD-0011,Meia Fluxo 11,Moda,Fluxo,67.18,48.17,4,Distribuidora Norte,
ESP-0013,Corda Brisa 13,Esporte,Brisa,93.68,53.72,29,Comercial Sul,
ELE-0013,Cabo USB Viva 13,Eletrônicos,Viva,403.61,166.53,76,Distribuidora Norte,
LIV-0001,Biografia Lume 01,Livros,Lume,98.78,60.76,12,Distribuidora Norte,
ELE-0014,Cabo USB Viva 14,Eletrônicos,Viva,168.62,70.59,10,Distribuidora Norte,Reposição prioritária
BRI-0014,Blocos Orbe 14,Brinquedos,Orbe,60.59,24.48,13,Comercial Sul,Reposição prioritária
ESP-0014,Corda Nexo 14,Esporte,Nexo,75.65,41.7,23,Comercial Sul,
BEL-0005,Aparador Brisa 05,Beleza,Brisa,98.33,49.67,42,Parceiro Centro-Oeste,
CAS-0008,Luminária Terra 08,Casa e Cozinha,Terra,121.85,78.61,15,Central Sudeste,
BRI-0015,Boneco Atlas 15,Brinquedos,Atlas,72.55,34.69,48,Hub Nordeste,
BEL-0006,Escova Orbe 06,Beleza,Orbe,99.23,64.87,32,Central Sudeste,
INF-0010,Mouse Fluxo 10,Informática,Fluxo,178.45,103.16,14,Central Sudeste,
INF-0011,Teclado Terra 11,Informática,Terra,114.89,77.6,13,Hub Nordeste,
AUT-0004,Carregador veicular Vértice 04,Automotivo,Vértice,196.54,93.99,22,Hub Nordeste,
FER-0003,Alicate Raiz 03,Ferramentas,Raiz,83.83,46.88,25,Hub Nordeste,
BRI-0016,Jogo educativo Ponto 16,Brinquedos,Ponto,98.62,51.94,34,Comercial Sul,
CAS-0009,Panela Terra 09,Casa e Cozinha,Terra,63.2,46.65,42,Parceiro Centro-Oeste,
AUT-0005,Kit de limpeza Ponto 05,Automotivo,Ponto,46.76,27.15,26,Parceiro Centro-Oeste,Revisar embalagem
MOD-0012,Carteira Lume 12,Moda,Lume,42.68,26.69,21,Hub Nordeste,Produto sazonal
MOD-0013,Camiseta Horizonte 13,Moda,Horizonte,46.57,21.64,15,Hub Nordeste,
ESP-0015,Garrafa Fluxo 15,Esporte,Fluxo,78.18,51.44,20,Central Sudeste,
CAS-0010,Garrafa térmica Vértice 10,Casa e Cozinha,Vértice,188.58,106.89,29,Distribuidora Norte,
INF-0012,Mouse Brisa 12,Informática,Brisa,123.8,65.32,13,Distribuidora Norte,Reposição prioritária
FER-0004,Alicate Prisma 04,Ferramentas,Prisma,120.44,56.43,8,Comercial Sul,
ESP-0016,Corda Brisa 16,Esporte,Brisa,142.41,68.96,32,Distribuidora Norte,
ELE-0015,Fone sem fio Fluxo 15,Eletrônicos,Fluxo,185.48,97.33,72,Distribuidora Norte,
CAS-0011,Luminária Ponto 11,Casa e Cozinha,Ponto,160.29,73.08,33,Parceiro Centro-Oeste,
PAP-0007,Agenda Orbe 07,Papelaria,Orbe,23.34,15.25,34,Central Sudeste,
ELE-0016,Caixa de som Vértice 16,Eletrônicos,Vértice,222.12,143.96,27,Central Sudeste,
PET-0009,Coleira Prisma 09,Pet,Prisma,106.05,55.38,14,Comercial Sul,
MOD-0014,Mochila Orbe 14,Moda,Orbe,39.69,26.45,14,Central Sudeste,
MOD-0015,Mochila Fluxo 15,Moda,Fluxo,82.7,56.12,24,Hub Nordeste,
ESP-0017,Halter Alva 17,Esporte,Alva,108.41,74.96,38,Comercial Sul,
PAP-0008,Caneta Orbe 08,Papelaria,Orbe,26.14,11.97,25,Parceiro Centro-Oeste,
PAP-0009,Caneta Viva 09,Papelaria,Viva,26.53,16.15,8,Distribuidora Norte,Reposição prioritária
BRI-0017,Kit criativo Prisma 17,Brinquedos,Prisma,63.81,28.13,7,Parceiro Centro-Oeste,Reposição prioritária
INF-0013,Teclado Atlas 13,Informática,Atlas,186.8,126.62,21,Comercial Sul,
ESP-0018,Halter Prisma 18,Esporte,Prisma,50.54,22.29,11,Central Sudeste,
INF-0014,Hub USB Horizonte 14,Informática,Horizonte,232.3,159.89,16,Hub Nordeste,
LIV-0002,Guia prático Atlas 02,Livros,Atlas,46.78,22.66,34,Central Sudeste,
CAS-0012,Jogo de copos Prisma 12,Casa e Cozinha,Prisma,89.3,55.88,13,Central Sudeste,
ELE-0017,Carregador Terra 17,Eletrônicos,Terra,202.17,132.17,12,Hub Nordeste,
INF-0015,Suporte para notebook Raiz 15,Informática,Raiz,244.8,138.47,48,Comercial Sul,
PAP-0010,Caneta Brisa 10,Papelaria,Brisa,31.9,17.08,16,Distribuidora Norte,
ELE-0018,Fone sem fio Ponto 18,Eletrônicos,Ponto,205.4,134.22,15,Hub Nordeste,
FER-0005,Organizador Fluxo 05,Ferramentas,Fluxo,152.55,112.1,20,Central Sudeste,
PAP-0011,Estojo Orbe 11,Papelaria,Orbe,39.87,22.41,31,Comercial Sul,
BEL-0007,Secador Nexo 07,Beleza,Nexo,53.78,29.08,5,Distribuidora Norte,
PAP-0012,Caderno Alva 12,Papelaria,Alva,24.6,9.54,40,Central Sudeste,
INF-0016,Teclado Nexo 16,Informática,Nexo,200.96,77.16,23,Parceiro Centro-Oeste,
AUT-0006,Capa protetora Prisma 06,Automotivo,Prisma,72.79,43.37,12,Hub Nordeste,
LIV-0003,Romance Raiz 03,Livros,Raiz,99.57,63.34,28,Distribuidora Norte,
MOD-0016,Boné Terra 16,Moda,Terra,88.5,36.9,13,Comercial Sul,
INF-0017,Webcam Brisa 17,Informática,Brisa,151.71,102.68,27,Comercial Sul,Produto sazonal
LIV-0004,Biografia Viva 04,Livros,Viva,58.72,38.44,12,Parceiro Centro-Oeste,
LIV-0005,Livro infantil Nexo 05,Livros,Nexo,85.63,37.28,11,Comercial Sul,
FER-0006,Organizador Viva 06,Ferramentas,Viva,74.73,38.33,33,Distribuidora Norte,
PAP-0013,Caneta Viva 13,Papelaria,Viva,31.6,21.7,25,Parceiro Centro-Oeste,
ESP-0019,Garrafa Viva 19,Esporte,Viva,73.58,30.3,9,Distribuidora Norte,
CAS-0013,Jogo de copos Orbe 13,Casa e Cozinha,Orbe,93.6,53.09,23,Central Sudeste,
BEL-0008,Escova Vértice 08,Beleza,Vértice,74.48,32.1,11,Central Sudeste,
LIV-0006,Biografia Prisma 06,Livros,Prisma,53.03,25.49,24,Comercial Sul,
ESP-0020,Halter Alva 20,Esporte,Alva,154.65,84.19,25,Distribuidora Norte,
INF-0018,Teclado Ponto 18,Informática,Ponto,134.48,71.5,19,Comercial Sul,
PET-0010,Comedouro Raiz 10,Pet,Raiz,78.92,52.37,43,Parceiro Centro-Oeste,
FER-0007,Alicate Orbe 07,Ferramentas,Orbe,64.5,47.44,29,Distribuidora Norte,
ELE-0019,Caixa de som Viva 19,Eletrônicos,Viva,308.27,131.67,18,Hub Nordeste,Revisar embalagem
PAP-0014,Marcador Viva 14,Papelaria,Viva,33.62,18.88,10,Parceiro Centro-Oeste,
INF-0019,Mouse Orbe 19,Informática,Orbe,295.92,132.32,31,Comercial Sul,
BRI-0018,Jogo educativo Orbe 18,Brinquedos,Orbe,87.24,44.31,32,Hub Nordeste,
CAS-0014,Panela Ponto 14,Casa e Cozinha,Ponto,145.0,102.08,14,Hub Nordeste,
BRI-0019,Boneco Horizonte 19,Brinquedos,Horizonte,97.35,69.83,8,Distribuidora Norte,Produto sazonal
MOD-0017,Carteira Fluxo 17,Moda,Fluxo,63.22,26.49,4,Central Sudeste,
MOD-0018,Mochila Horizonte 18,Moda,Horizonte,83.41,37.76,36,Distribuidora Norte,
INF-0020,Suporte para notebook Horizonte 20,Informática,Horizonte,215.02,140.9,31,Hub Nordeste,
FER-0008,Trena Alva 08,Ferramentas,Alva,55.33,40.83,30,Parceiro Centro-Oeste,
CAS-0015,Luminária Terra 15,Casa e Cozinha,Terra,204.35,140.69,15,Comercial Sul,
INF-0021,Mouse Viva 21,Informática,Viva,163.12,113.62,25,Central Sudeste,
PAP-0015,Caderno Lume 15,Papelaria,Lume,32.83,18.42,28,Parceiro Centro-Oeste,
BEL-0009,Escova Prisma 09,Beleza,Prisma,82.29,59.93,17,Parceiro Centro-Oeste,
PET-0011,Comedouro Ponto 11,Pet,Ponto,65.59,46.87,75,Distribuidora Norte,
PET-0012,Kit de higiene Alva 12,Pet,Alva,71.37,33.76,28,Distribuidora Norte,
CAS-0016,Jogo de copos Raiz 16,Casa e Cozinha,Raiz,90.45,39.46,31,Parceiro Centro-Oeste,
AUT-0007,Suporte veicular Ponto 07,Automotivo,Ponto,69.49,34.28,15,Parceiro Centro-Oeste,Produto sazonal
CAS-0017,Garrafa térmica Fluxo 17,Casa e Cozinha,Fluxo,144.07,58.23,29,Hub Nordeste,
LIV-0007,Guia prático Vértice 07,Livros,Vértice,58.38,25.05,20,Hub Nordeste,
CAS-0018,Organizador Lume 18,Casa e Cozinha,Lume,121.69,63.15,12,Comercial Sul,
FER-0009,Organizador Terra 09,Ferramentas,Terra,216.21,125.9,25,Comercial Sul,
ELE-0020,Carregador Ponto 20,Eletrônicos,Ponto,179.23,116.79,13,Comercial Sul,
INF-0022,Webcam Alva 22,Informática,Alva,110.38,69.91,21,Distribuidora Norte,
ESP-0021,Colchonete Horizonte 21,Esporte,Horizonte,135.61,86.11,10,Hub Nordeste,
AUT-0008,Suporte veicular Vértice 08,Automotivo,Vértice,143.27,103.38,23,Distribuidora Norte,
FER-0010,Lanterna Orbe 10,Ferramentas,Orbe,120.81,71.92,21,Hub Nordeste,
MOD-0019,Mochila Brisa 19,Moda,Brisa,90.73,59.43,3,Central Sudeste,
FER-0011,Trena Viva 11,Ferramentas,Viva,67.68,30.55,20,Central Sudeste,
FER-0012,Jogo de chaves Raiz 12,Ferramentas,Raiz,126.27,87.45,46,Comercial Sul,
LIV-0008,Biografia Raiz 08,Livros,Raiz,49.32,31.59,43,Parceiro Centro-Oeste,
CAS-0019,Panela Orbe 19,Casa e Cozinha,Orbe,42.0,24.25,29,Parceiro Centro-Oeste,Reposição prioritária
MOD-0020,Boné Brisa 20,Moda,Brisa,98.56,39.29,47,Parceiro Centro-Oeste,
BRI-0020,Blocos Alva 20,Brinquedos,Alva,70.38,38.46,37,Central Sudeste,
BEL-0010,Espelho Vértice 10,Beleza,Vértice,166.08,71.11,33,Distribuidora Norte,
INF-0023,Teclado Horizonte 23,Informática,Horizonte,515.21,204.11,40,Hub Nordeste,
MOD-0021,Boné Alva 21,Moda,Alva,98.02,72.22,16,Central Sudeste,
CAS-0020,Luminária Prisma 20,Casa e Cozinha,Prisma,129.36,86.68,8,Hub Nordeste,
FER-0013,Organizador Orbe 13,Ferramentas,Orbe,78.64,56.25,17,Parceiro Centro-Oeste,Produto sazonal
CAS-0021,Luminária Atlas 21,Casa e Cozinha,Atlas,92.01,55.88,27,Distribuidora Norte,
ELE-0021,Smartwatch Prisma 21,Eletrônicos,Prisma,190.05,112.42,26,Central Sudeste,
PET-0013,Coleira Terra 13,Pet,Terra,57.49,30.21,20,Comercial Sul,
ELE-0022,Fone sem fio Terra 22,Eletrônicos,Terra,172.7,71.92,35,Central Sudeste,
ELE-0023,Carregador Brisa 23,Eletrônicos,Brisa,138.78,94.08,40,Central Sudeste,
PAP-0016,Caderno Raiz 16,Papelaria,Raiz,28.76,14.74,15,Central Sudeste,Revisar embalagem
FER-0014,Alicate Viva 14,Ferramentas,Viva,61.69,30.95,9,Central Sudeste,Revisar embalagem
ELE-0024,Caixa de som Lume 24,Eletrônicos,Lume,350.35,249.59,26,Hub Nordeste,
CAS-0022,Organizador Brisa 22,Casa e Cozinha,Brisa,100.83,72.82,47,Distribuidora Norte,
MOD-0022,Meia Nexo 22,Moda,Nexo,57.22,24.2,7,Central Sudeste,
AUT-0009,Capa protetora Nexo 09,Automotivo,Nexo,104.2,73.45,17,Distribuidora Norte,
LIV-0009,Biografia Alva 09,Livros,Alva,115.67,68.34,27,Parceiro Centro-Oeste,
ELE-0025,Fone sem fio Atlas 25,Eletrônicos,Atlas,239.79,174.85,15,Comercial Sul,
INF-0024,Teclado Prisma 24,Informática,Prisma,78.24,37.77,36,Parceiro Centro-Oeste,
ELE-0026,Cabo USB Ponto 26,Eletrônicos,Ponto,427.9,242.18,21,Hub Nordeste,
ELE-0027,Caixa de som Viva 27,Eletrônicos,Viva,251.55,146.09,25,Parceiro Centro-Oeste,
BRI-0021,Kit criativo Viva 21,Brinquedos,Viva,95.89,37.34,4,Distribuidora Norte,
ELE-0028,Caixa de som Lume 28,Eletrônicos,Lume,263.39,184.77,15,Comercial Sul,Revisar embalagem
LIV-0010,Guia prático Nexo 10,Livros,Nexo,51.35,27.96,18,Comercial Sul,
BRI-0022,Boneco Prisma 22,Brinquedos,Prisma,41.21,28.81,24,Central Sudeste,
PAP-0017,Caderno Lume 17,Papelaria,Lume,56.37,39.73,21,Parceiro Centro-Oeste,
ELE-0029,Caixa de som Lume 29,Eletrônicos,Lume,283.63,142.76,21,Comercial Sul,Produto sazonal
PET-0014,Cama pet Prisma 14,Pet,Prisma,49.87,27.29,35,Comercial Sul,
MOD-0023,Meia Ponto 23,Moda,Ponto,85.76,41.57,30,Distribuidora Norte,
MOD-0024,Meia Brisa 24,Moda,Brisa,94.41,61.18,15,Comercial Sul,
ELE-0030,Cabo USB Fluxo 30,Eletrônicos,Fluxo,410.32,214.5,27,Hub Nordeste,Produto sazonal
ELE-0031,Caixa de som Raiz 31,Eletrônicos,Raiz,127.33,76.54,18,Comercial Sul,
FER-0015,Jogo de chaves Nexo 15,Ferramentas,Nexo,82.06,53.21,23,Hub Nordeste,
BEL-0011,Escova Raiz 11,Beleza,Raiz,165.84,103.1,35,Hub Nordeste,
CAS-0023,Jogo de copos Viva 23,Casa e Cozinha,Viva,189.86,74.35,25,Hub Nordeste,
LIV-0011,Guia prático Orbe 11,Livros,Orbe,100.52,70.49,43,Hub Nordeste,
BRI-0023,Jogo educativo Vértice 23,Brinquedos,Vértice,56.97,31.97,19,Central Sudeste,
AUT-0010,Carregador veicular Prisma 10,Automotivo,Prisma,80.62,52.14,19,Comercial Sul,
CAS-0024,Luminária Horizonte 24,Casa e Cozinha,Horizonte,156.04,78.06,15,Distribuidora Norte,
FER-0016,Alicate Viva 16,Ferramentas,Viva,130.71,57.9,26,Distribuidora Norte,
INF-0025,Hub USB Nexo 25,Informática,Nexo,164.32,75.77,11,Comercial Sul,Revisar embalagem
PAP-0018,Marcador Atlas 18,Papelaria,Atlas,37.26,27.45,36,Hub Nordeste,
BRI-0024,Boneco Horizonte 24,Brinquedos,Horizonte,73.92,41.77,19,Central Sudeste,
INF-0026,Mouse Horizonte 26,Informática,Horizonte,192.72,120.88,19,Central Sudeste,
ELE-0032,Carregador Raiz 32,Eletrônicos,Raiz,146.34,100.21,18,Central Sudeste,
ESP-0022,Faixa elástica Alva 22,Esporte,Alva,61.47,36.54,14,Comercial Sul,
AUT-0011,Capa protetora Brisa 11,Automotivo,Brisa,86.35,59.96,12,Distribuidora Norte,
PAP-0019,Agenda Raiz 19,Papelaria,Raiz,42.55,17.0,21,Central Sudeste,
FER-0017,Organizador Terra 17,Ferramentas,Terra,55.06,25.32,42,Parceiro Centro-Oeste,
PET-0015,Cama pet Nexo 15,Pet,Nexo,185.07,73.37,19,Central Sudeste,
ESP-0023,Colchonete Ponto 23,Esporte,Ponto,127.45,51.38,24,Comercial Sul,
MOD-0025,Mochila Orbe 25,Moda,Orbe,53.41,33.0,38,Hub Nordeste,
INF-0027,Mouse Horizonte 27,Informática,Horizonte,140.95,74.61,38,Hub Nordeste,
INF-0028,Hub USB Vértice 28,Informática,Vértice,200.08,94.01,15,Comercial Sul,
PET-0016,Coleira Alva 16,Pet,Alva,55.48,22.95,35,Comercial Sul,
MOD-0026,Meia Lume 26,Moda,Lume,72.25,31.27,45,Distribuidora Norte,
CAS-0025,Panela Lume 25,Casa e Cozinha,Lume,148.14,64.25,42,Comercial Sul,
LIV-0012,Biografia Brisa 12,Livros,Brisa,84.04,36.63,37,Hub Nordeste,
PAP-0020,Caderno Ponto 20,Papelaria,Ponto,40.7,24.08,81,Hub Nordeste,
PET-0017,Kit de higiene Vértice 17,Pet,Vértice,33.75,16.73,11,Hub Nordeste,
PAP-0021,Estojo Fluxo 21,Papelaria,Fluxo,35.94,17.85,42,Distribuidora Norte,
ESP-0024,Corda Nexo 24,Esporte,Nexo,74.91,37.54,21,Parceiro Centro-Oeste,
BEL-0012,Espelho Orbe 12,Beleza,Orbe,129.17,62.27,11,Central Sudeste,
ESP-0025,Faixa elástica Viva 25,Esporte,Viva,53.89,33.17,25,Comercial Sul,
BRI-0025,Boneco Atlas 25,Brinquedos,Atlas,141.96,57.34,15,Hub Nordeste,
PET-0018,Cama pet Vértice 18,Pet,Vértice,95.68,55.26,30,Parceiro Centro-Oeste,Reposição prioritária
ESP-0026,Garrafa Atlas 26,Esporte,Atlas,126.99,75.41,3,Hub Nordeste,
CAS-0026,Luminária Fluxo 26,Casa e Cozinha,Fluxo,114.12,74.68,36,Central Sudeste,
CAS-0027,Jogo de copos Lume 27,Casa e Cozinha,Lume,46.13,25.4,10,Distribuidora Norte,
MOD-0027,Carteira Ponto 27,Moda,Ponto,80.83,32.59,27,Central Sudeste,
PET-0019,Coleira Ponto 19,Pet,Ponto,67.21,47.9,25,Hub Nordeste,Produto sazonal
INF-0029,Mouse Brisa 29,Informática,Brisa,323.81,198.64,27,Parceiro Centro-Oeste,
INF-0030,Suporte para notebook Fluxo 30,Informática,Fluxo,195.84,116.57,40,Parceiro Centro-Oeste,
PAP-0022,Marcador Prisma 22,Papelaria,Prisma,77.6,42.01,19,Distribuidora Norte,
ELE-0033,Cabo USB Fluxo 33,Eletrônicos,Fluxo,317.89,133.83,24,Comercial Sul,
PET-0020,Coleira Raiz 20,Pet,Raiz,78.52,54.57,9,Comercial Sul,
CAS-0028,Luminária Fluxo 28,Casa e Cozinha,Fluxo,97.56,70.55,15,Comercial Sul,
ELE-0034,Fone sem fio Prisma 34,Eletrônicos,Prisma,363.38,260.75,29,Hub Nordeste,
FER-0018,Alicate Ponto 18,Ferramentas,Ponto,78.44,48.82,21,Hub Nordeste,
ELE-0035,Carregador Alva 35,Eletrônicos,Alva,168.28,96.77,34,Distribuidora Norte,Produto sazonal
CAS-0029,Organizador Atlas 29,Casa e Cozinha,Atlas,106.43,68.08,25,Comercial Sul,
ELE-0036,Smartwatch Alva 36,Eletrônicos,Alva,332.65,202.99,15,Distribuidora Norte,
INF-0031,Teclado Ponto 31,Informática,Ponto,111.57,47.37,11,Comercial Sul,Produto sazonal
INF-0032,Mouse Raiz 32,Informática,Raiz,127.6,55.04,41,Parceiro Centro-Oeste,
INF-0033,Webcam Atlas 33,Informática,Atlas,116.99,86.01,16,Hub Nordeste,
ELE-0037,Smartwatch Raiz 37,Eletrônicos,Raiz,146.81,64.97,21,Central Sudeste,
INF-0034,Hub USB Alva 34,Informática,Alva,131.6,83.17,29,Comercial Sul,
