codigo,produto,categoria,marca,preco_venda,custo_unitario,estoque,fornecedor,observacao
BRI-0005,Quebra-cabeça Atlas 05,Brinquedos,Atlas,149.99,90.02,33,Hub Nordeste,
ESP-0007,Garrafa Brisa 07,Esporte,Brisa,56.61,30.86,31,Comercial Sul,Revisar embalagem
PET-0004,Comedouro Lume 04,Pet,,102.01,62.6,40,Comercial Sul,
BRI-0006,Jogo educativo Atlas 06,Brinquedos,Atlas,80.08,38.45,41,Distribuidora Norte,
CAS-0002,Organizador Terra 02,Casa e Cozinha,Terra,54.58,26.97,19,Central Sudeste,
PET-0005,Comedouro Orbe 05,Pet,Orbe,58.25,35.73,31,Comercial Sul,
PET-0006,Cama pet Orbe 06,Pet,Orbe,74.02,47.76,26,Central Sudeste,
BEL-0004,Escova Horizonte 04,Beleza,Horizonte,68.74,38.35,39,Comercial Sul,
CAS-0003,Jogo de copos Nexo 03,Casa e Cozinha,Nexo,171.23,110.85,27,Distribuidora Norte,
BRI-0007,Quebra-cabeça Ponto 07,Brinquedos,Ponto,44.07,22.54,23,Distribuidora Norte,
ELE-0008,Cabo USB Raiz 08,Eletrônicos,Raiz,249.25,95.68,28,Central Sudeste,
ELE-0009,Smartwatch Viva 09,Eletrônicos,Viva,166.0,113.22,42,Parceiro Centro-Oeste,
INF-0004,Hub USB Alva 04,Informática,Alva,326.21,141.66,6,Comercial Sul,
MOD-0007,Camiseta Nexo 07,Moda,Nexo,valor inválido,62.1,21,Comercial Sul,
BRI-0008,Boneco Terra 08,Brinquedos,Terra,84.27,43.14,40,Hub Nordeste,
BRI-0009,Boneco Terra 09,Brinquedos,Terra,75.46,53.38,15,Comercial Sul,
MOD-0008,Camiseta Alva 08,Moda,Alva,81.75,49.63,13,Central Sudeste,Produto sazonal
ESP-0008,Garrafa Nexo 08,Esporte,Nexo,91.29,54.36,27,Parceiro Centro-Oeste,Reposição prioritária
PAP-0002,Estojo Vértice 02,Papelaria,Vértice,29.07,20.5,15,Comercial Sul,
ELE-0010,Cabo USB Orbe 10,Eletrônicos,Orbe,262.46,191.37,11,Comercial Sul,
INF-0005,Hub USB Viva 05,Informática,Viva,245.12,134.18,8,Comercial Sul,
BRI-0010,Kit criativo Prisma 10,Brinquedos,Prisma,45.41,29.9,20,Distribuidora Norte,
ESP-0009,Garrafa Fluxo 09,Esporte,Fluxo,86.04,48.64,17,Parceiro Centro-Oeste,
PAP-0003,Caneta Fluxo 03,Papelaria,Fluxo,12.79,6.46,68,Comercial Sul,
MOD-0009,Meia Vértice 09,Moda,Vértice,89.74,45.15,dez,Distribuidora Norte,
BRI-0011,Jogo educativo Viva 11,Brinquedos,Viva,48.13,28.6,26,Distribuidora Norte,
PAP-0004,Caderno Horizonte 04,Papelaria,Horizonte,36.13,19.62,25,Central Sudeste,
PAP-0005,Marcador Orbe 05,Papelaria,Orbe,28.1,19.75,12,Hub Nordeste,
CAS-0004,Organizador Vértice 04,Casa e Cozinha,Vértice,193.09,120.27,21,Comercial Sul,
INF-0006,Mouse Viva 06,Informática,Viva,202.82,108.68,28,Comercial Sul,
ESP-0010,Corda Viva 10,Esporte,Viva,78.75,38.78,20,Comercial Sul,
ELE-0011,Carregador Brisa 11,Eletrônicos,Brisa,296.75,154.87,32,Comercial Sul,
ESP-0011,Garrafa Nexo 11,Esporte,Nexo,81.95,40.65,5,,
PET-0007,Brinquedo pet Brisa 07,Pet,Brisa,83.77,36.0,22,Hub Nordeste,
CAS-0005,Luminária Nexo 05,Casa e Cozinha,Nexo,188.45,111.65,15,Central Sudeste,
INF-0007,Hub USB Horizonte 07,Informática,Horizonte,229.29,89.59,10,Distribuidora Norte,
CAS-0006,Garrafa térmica Fluxo 06,Casa e Cozinha,Fluxo,116.42,85.86,37,Distribuidora Norte,
CAS-0007,Luminária Alva 07,Casa e Cozinha,Alva,74.62,36.27,25,Hub Nordeste,
BRI-0012,Boneco Brisa 12,Brinquedos,Brisa,88.91,55.48,41,Comercial Sul,
PAP-0006,Caderno Terra 06,Papelaria,Terra,35.23,18.56,17,Central Sudeste,
MOD-0010,Meia Fluxo 10,Moda,Fluxo,124.34,85.7,28,Distribuidora Norte,
BRI-0013,Boneco Lume 13,Brinquedos,Lume,74.59,48.26,5,Comercial Sul,Registro incluído para demonstrar a validação
ESP-0012,Garrafa Nexo 12,Esporte,Nexo,175.31,90.42,48,Distribuidora Norte,
PET-0008,Coleira Ponto 08,Pet,Ponto,51.97,31.01,16,Hub Nordeste,
ELE-0012,Caixa de som Horizonte 12,Eletrônicos,Horizonte,282.06,141.65,24,Distribuidora Norte,Produto sazonal
INF-0008,Mouse Fluxo 08,Informática,Fluxo,246.84,110.31,17,Distribuidora Norte,
INF-0009,Suporte para notebook Fluxo 09,Informática,Fluxo,87.71,36.82,15,Hub Nordeste,
MOD-0011,Mochila Orbe 11,Moda,Orbe,27.83,19.05,12,Distribuidora Norte,
ESP-0013,Faixa elástica Lume 13,Esporte,Lume,61.25,29.8,6,Comercial Sul,
ELE-0013,Cabo USB Brisa 13,Eletrônicos,Brisa,279.08,151.25,16,Central Sudeste,
LIV-0001,Romance Horizonte 01,Livros,Horizonte,41.72,29.19,18,Distribuidora Norte,
